name,EDNN,DTWNN,TSBF,SAXVSM,SMTS,PROP,COTE,BOSS,D-BoTSW,BoP,LTS_Bagnall,ABS,LTS,name_bis
50words,0.341,0.319,0.256,0.559,0.286,0.179,0.199,0.298,0.218,0.45,0.306,-1,-1,50words
Adiac,0.383,0.397,0.273,0.543,0.241,0.335,0.19,0.251,0.269,0.408,0.473,-1,-1,Adiac
ArrowHead,0.159,0.28,0.199,0.221,-1,0.14,0.123,0.125,0.189,0.233,0.159,0.126,0.143,ArrowHead
Beef,0.467,0.503,0.446,0.504,0.27,0.468,0.236,0.385,0.167,0.497,0.302,0.2,0.167,Beef
BeetleFly,0.314,0.222,0.202,0.092,-1,0.178,0.079,0.052,0.1,0.155,0.139,0.2,0.2,BeetleFly
BirdChicken,0.307,0.166,0.098,0.114,-1,0.152,0.059,0.016,0.2,0.148,0.137,0.2,0.2,BirdChicken
Car,0.276,0.334,0.205,0.139,-1,0.201,0.101,0.145,0.067,0.182,0.144,0.15,0.183,Car
CBF,0.13,0.007,0.023,0.043,0.031,0.007,0.002,0.002,0,0.037,0.023,0.009,0.01,CBF
ChlorineConcentration,0.348,0.354,0.317,0.343,0.326,0.341,0.264,0.34,0.45,0.364,0.414,0.359,0.385,ChlorineConcentration
CinC_ECG_torso,0.109,0.326,0.284,0.27,0.11,0.054,0.017,0.1,0.192,0.284,0.145,0.105,0.137,CinC_ECG_torso
Coffee,0.019,0.011,0.018,0.062,0.014,0.011,0,0.011,0,0.056,0.005,0,0,Coffee
Computers,0.425,0.3,0.235,0.334,-1,0.268,0.23,0.198,0.236,0.312,0.346,0.392,0.408,Computers
Cricket_X,0.421,0.235,0.269,0.284,0.289,0.199,0.186,0.236,0.231,0.425,0.256,0.241,0.251,Cricket_X
Cricket_Y,0.455,0.262,0.272,0.34,0.289,0.206,0.185,0.251,0.249,0.388,0.274,0.256,0.285,Cricket_Y
Cricket_Z,0.411,0.228,0.262,0.281,0.253,0.196,0.173,0.224,0.233,0.415,0.246,0.241,0.259,Cricket_Z
DiatomSizeReduction,0.057,0.042,0.11,0.157,0.055,0.054,0.075,0.061,0.085,0.146,0.073,0.02,0.026,DiatomSizeReduction
DistalPhalanxOutlineAgeGroup,0.269,0.255,0.188,0.226,-1,0.232,0.179,0.186,0.168,0.267,0.19,0.266,0.266,DistalPhalanxOutlineAgeGroup
DistalPhalanxOutlineCorrect,0.256,0.239,0.184,0.263,-1,0.232,0.195,0.185,0.188,0.285,0.178,0.214,0.214,DistalPhalanxOutlineCorrect
DistalPhalanxTW,0.372,0.395,0.31,0.37,-1,0.346,0.307,0.327,0.223,0.392,0.341,0.36,0.381,DistalPhalanxTW
Earthquakes,0.318,0.297,0.253,0.262,-1,0.265,0.253,0.254,0.205,0.252,0.258,0.259,0.252,Earthquakes
